page,title_len,desc_len,h1_count,words,images,issue_count,issues
/404,46,141,1,208,1,0,PASS
/about,60,155,1,1774,2,0,PASS
/ausmegaways-review,54,150,1,2952,31,0,PASS
/best-bonus-types-australian-pokies-2026,60,145,1,1684,20,0,PASS
/best-high-rtp-pokies-australia-2026,53,155,1,3086,29,0,PASS
/best-payment-methods-pokies-australia-2026,57,154,1,1732,20,0,PASS
/bestrtp-review,53,150,1,3070,31,0,PASS
/biggest-casino-wins-australia-2026,58,150,1,1559,20,0,PASS
/cashback-bonus-pokies-australia-2026,54,159,1,1656,17,0,PASS
/contact,53,147,1,562,1,0,PASS
/curacao-casino-licence-check-australia-2026,58,149,1,1757,17,0,PASS
/daily-free-credits-au-returning-players,56,152,1,1681,20,0,PASS
/fastest-withdrawal-casinos-australia-under-1-hour-2026,56,155,1,1611,20,0,PASS
/free-chips-australia-guide-2026,55,151,1,1822,20,0,PASS
/freecredit777-review,54,149,1,2722,31,0,PASS
/high-volatility-vs-high-rtp-free-spins,52,155,1,1730,20,0,PASS
/hold-and-win-pokies-australia-2026,53,149,1,1596,20,0,PASS
/hot-pokies-australia-2026-popular-slots,54,148,1,1484,19,0,PASS
/how-to-play-online-pokies-beginners-australia-2026,57,160,1,1714,17,0,PASS
/how-to-read-casino-bonus-terms-australia-2026,59,148,1,1751,20,0,PASS
/,57,155,1,5146,46,0,PASS
/lockrespin-review,47,147,1,2912,31,0,PASS
/megawin33-review,50,146,1,2613,31,0,PASS
/methodology,55,153,1,1920,3,0,PASS
/mobile-pokies-australia-2026,55,139,1,1775,20,0,PASS
/no-deposit-free-bonus-guide-australia-2026,56,155,1,1679,20,0,PASS
/no-wagering-bonuses-australia-2026,52,151,1,1643,17,0,PASS
/nodepspin-review,53,152,1,2637,31,0,PASS
/online-pokies-legality-australia-2026,59,159,1,1848,17,0,PASS
/payid-cashouts-australia-2026,60,153,1,2319,20,0,PASS
/payid-withdraw-review,55,149,1,2850,31,0,PASS
/press,57,143,1,1155,3,0,PASS
/privacy,46,150,1,504,1,0,PASS
/progressive-jackpot-pokies-australia-2026,59,159,1,1616,20,0,PASS
/research,53,155,1,2200,1,0,PASS
/responsible-gambling,56,148,1,1115,3,0,PASS
/same-day-pokies-withdrawals-australia,59,147,1,1519,20,0,PASS
/terms,44,157,1,549,1,0,PASS
/top-10-easiest-profit-pokies-2026,46,147,1,2170,30,0,PASS
/vip-loyalty-programs-pokies-australia-2026,56,153,1,1728,20,0,PASS
/blog/,54,152,1,1562,45,0,PASS
/blog/bonus-guides/,52,152,1,899,22,0,PASS
/blog/fast-cashouts/,56,150,1,857,22,0,PASS
/blog/promo-guides/,54,154,1,817,20,0,PASS
/blog/top-pokies/,49,152,1,882,21,0,PASS
/blog/winning-tips/,50,154,1,1033,23,0,PASS
